Name,Website,HQ,Category,Fit (Core/Stretch),Notes,Source,Conference,Classification
Capitolis,http://www.capitolis.com,,,,"Capitolis is the technology company helping to create safer and more vibrant financial markets by unlocking capital constraints and enabling greater access to more diversified capital and investment opportunities. Rooted in advanced technology and deep financial expertise, Capitolis powers groundbreaking financial solutions that drive growth for global and regional banks... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
CME Group,https://www.cmegroup.com/,,,,"As the world's leading and most diverse derivatives marketplace, CME Group (www.cmegroup.com) enables clients to trade futures, options, cash and OTC markets, optimize portfolios, and analyze data – empowering market participants worldwide to efficiently manage risk and capture opportunities. CME Group exchanges offer the widest range of global benchmark products... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
CobaltFX,http://www.unitedfintech.com/cobaltFX,,,,"CobaltFX is a unique provider of institutional FX infrastructure, focused on a new approach to FX credit and post-trade. In response to regulatory interest, CobaltFX developed Dynamic Credit distribution to eliminate carve-outs and automate FX credit allocation, thus enabling real-time control over credit exposure for all FX products across all... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Commerzbank,https://www.commerzbank.de/group/,,,,"Commerzbank is the leading bank for the German Mittelstand. In addition, the Bank is a strong partner for around 25,500 corporate client groups and almost 11 million private and small-business customers in Germany. The Bank’s two Business Segments – Private and Small-Business Customers and Corporate Clients – offer a comprehensive... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Deutsche Börse AG,http://www.mds.deutsche-boerse.com,,,,"Financial markets are among the most information intensive environments worldwide. Market participants such as analysts, algo traders, banks, hedge funds, asset managers, mid and back office professionals and data vendors rely on accurate and timely information to make investment and trading decisions, manage risk, safeguard assets and comply with increasing... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
EMAlpha,http://www.emalpha.com,,,,"EMAlpha is a leader in Multilingual AI, transforming the way investors access and analyze global data. As the share of non-English content on the web continues to grow—now making up about 50% of online information—vital signals influencing trends, sentiment, and risk are often hidden in this diverse, multilingual data. EMAlpha... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Enterprai,https://www.enterprai.com/,,,,"Enterprai - research & technologies consulting firm specialised in derivatives markets for macro portfolio managers, risk specialists and traders; Critical Information Provider on Markets Positioning: Compare your fundamental views with the actual trading exposure of the top global hedge funds community across fx and rates markets.Enterprai Signals for Alpha &... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Euronext FX,http://www.euronextfx.com,,,,"Euronext FX is a leading ECN for Spot FX and Precious Metals, as well as NDFs through its Singapore subsidiary Euronext Markets Singapore. Powered by award winning FastMatch® technology, Euronext FX has matching engines in London, New York, Tokyo and (through Euronext Markets Singapore) Singapore.    This best-in-class technology is leveraged... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
FairXchange,http://www.fairxchange.co.uk,,,,"FairXchange is a leading data science firm specialising in bringing best-in-class technology and innovation to capital markets. It has developed and supports Horizon, a multi-award-winning FX liquidity management platform, which can be leveraged by all market participants across all aspects of their trading businesses.    Horizon empowers Financial Institutions by democratising... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
FlexTrade Systems,http://www.flextrade.com,,,,"FlexTrade Systems provides customized multi-asset execution and order management trading solutions for buy- and sell-side financial institutions. Through deep client partnerships with some of the world's largest, most complex, and demanding capital markets firms, we develop flexible tools, technology, and innovation that give our clients a competitive edge. Our globally... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
FX Spotstream,http://www.fxspotstream.com,,,,,conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Hong Kong Exchanges and Clearing Limited,https://www.hkexgroup.com/?sc_lang=en,,,,"Hong Kong Exchanges and Clearing Limited (HKEX) is a publicly-traded company (HKEX Stock Code: 388) and one of the world’s leading global exchange groups, offering a range of equity, derivative, commodity, fixed income and other financial markets, products and services, including the London Metal Exchange.As a superconnector and gateway between... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Integral,https://www.integral.com/,,,,"Integral is the currency technology partner to hundreds of financial institutions, including banks, brokers, and cross-border payment companies, who have embedded Integral’s cloud-native technology into their workflows and customer facing services.Our proven, end-to-end trading workflow automation solutions are trusted by financial institutions worldwide to access deeper liquidity, offer more competitive... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
ION Markets,http://www.iongroup.com/markets/foreign-exchange,,,,"We provide technology and data solutions to financial institutions dealing in asset management, cleared derivatives, equities, fixed income, FX, and secured funding. Our solutions digitalize and automate workflows so users can view real-time trade processing, manage risk, and execute globally.  Our FX solutions unify users’ execution, order management, and post-trade... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
ITRS,https://www.itrsgroup.com,,,,"ITRS Geneos empowers financial institutions with industry-leading IT monitoring and alerting. It reduces the business impact of outages and application issues in production with genuine-real-time insights. ITRS Geneos gives financial institutions full control over the most diverse IT ecosystems at scale, accounting for on-premise, cloud and highly dynamic containerized environments.... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
J.P. Morgan,https://www.jpmorganchase.com/,,,,"JPMorgan Chase & Co. (NYSE: JPM) is a leading financial services firm based in the United States of America (“U.S.”), with operations worldwide. JPMorganChase had $4.0 trillion in assets and $345 billion in stockholders’ equity as of December 31, 2024. The Firm is a leader in investment banking, financial services... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
KX,https://kx.com/,,,,"KX is the time series and vector data management pioneer that ignites your organization at the intersection of data and decision. We power business decisions with connected, contextual, and continuous data-driven intelligence in order to harness the power of generative AI. Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Lucera,https://www.lucera.com/,,,,"Lucera, an industry leading technology service provider delivers performant, secure and scalable solutions designed to power today's demanding financial applications. We provide best in-class on-demand co-located infrastructure and connectivity, priced on a month-to-month basis, offering a compelling solution to businesses looking to lower expenses and reduce operational overhead. Lucera also... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Mosaic Smart Data,https://mosaicsmartdata.com/,,,,"Mosaic Smart Data is an innovative London-based fintech company, building next generation data analytics tools for capital markets. Its technology has already helped some of the world’s leading investment banks to optimise their fixed income, currencies and commodities (FICC) sales and trading performance and set a new standard for the... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Murex,https://www.murex.com/en,,,,"For more than 35 years, Murex has provided enterprise-wide, cross-asset financial technology solutions to capital markets players. Its cross-function platform, MX.3, supports trading, treasury, risk and post-trade operations, enabling clients to better meet regulatory requirements, manage enterprise-wide risk, and control IT costs. With more than 60,000 daily users in more... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
OneChronos,http://www.onechronos.com,,,,The Smart Market for Institutional Investors   The mission of OneChronos is to design and operate markets that grow the gross world product by facilitating trade. OneChronos is designed bottom-up to fundamentally address the growing gap between how trading venues match orders and how traders need to execute.   OneChronos is a... Read More,conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Optiver,https://optiver.com/,,,,"Optiver is a global market maker founded in Amsterdam, with offices in London, Chicago, Austin, New York, Sydney, Shanghai, Hong Kong, Singapore, Taipei and Mumbai. Established in 1986, today we are a leading liquidity provider, with close to 2,000 employees in offices around the world, united in our commitment to... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
PRAGMA,https://www.pragmatrading.com/,,,,"Pragma is an independent, quantitative trading technology provider specializing in algorithmic and analytical services. Pragma’s  broker-neutral, multi-asset trading solutions power traditional asset managers, hedge funds, broker-dealers, global banks, and  exchanges. For more information, please visit our website. Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Quantitative Brokers,http://www.quantitativebrokers.com,,,,"Quantitative Brokers’ goal is to be the world’s market leading provider of Quantitative Research driven Execution Algorithms for Listed and OTC financial instruments. We quantifiably help our clients by providing research-driven trading solutions to reduce transaction costs, trade complex structures, measure execution performance, and improve workflow efficiencies. Over the past... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Quod Financial,http://www.quodfinancial.com,,,,"Quod Financial offers a true multi-asset Front to Middle Trading solution for Equities, FX, and Derivatives for Sell-Sides and Buy-Sides. As a global OMS/EMS trading technology provider, focused on automation and innovation, Quod specialises in software and services such as algorithmic trading, smart order routing, and internalisation of liquidity.   Quod... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Saphyre,http://www.saphyre.com,,,,"Saphyre leverages patented AI technology to digitize all pre-trade data and activities across multiple counterparties: from asset owners to investment managers, hedge funds to prime brokers, any client firms to broker-dealers and custodians, and much more. Saphyre’s platform maintains memory of data and documents, resulting in clients not having to... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
SGX FX,http://www.sgx.com/otc-fx-buyside-and-sell-side-solutions,,,,"SGX Group seeks to serve as the world’s most trusted and efficient international marketplace, operating equity, fixed income, currency and commodity markets to the highest regulatory standards. As one ecosystem with global relevance and influence, we offer multiple growth avenues to our stakeholders through listing, trading, clearing, settlement, depository, data... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
smartTrade Technologies,https://www.smart-trade.net/,,,,"smartTrade Technologies is a leading global provider of multi-asset electronic trading platforms, helping customers achieve business growth through our cost-efficient, technologically advanced secure private SaaS end-to-end solution.   smartTrade in-house hosted solutions support Foreign Exchange, Fixed Income, Crypto and Derivatives asset classes with connectivity to 130+ liquidity providers, enabling tailored aggregation,... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
TD Securities,http://www.tdsecurities.com,,,,"TD Securities offers a wide range of capital markets products and services to corporate, government, and institutional clients who choose us for our innovation, execution, and experience. With more than 7,000 professionals operating out of 34 cities across the globe, we help clients meet their needs today and prepare for... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Telstra,http://www.telstra.com/global,,,,"Telstra is a leading telecommunications and technology company with a proudly Australian heritage and a longstanding, growing international business that offers a platform for global connections and infinite possibilities. Today, Telstra International has over 3,000 employees based in more than 35 countries outside of Australia, providing services to thousands of... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
Tradepoint Systems,https://www.trdpnt.com,,,,"Founded in 2012, Tradepoint Systems
provides foreign exchange trading technology and trade simulation and testing
software to the financial services community. Our solutions are used globally
by some of the world’s largest financial services institutions.We build innovative, differentiating
products and services that meet the nuanced requirements of our
client’s businesses... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
UBS,http://www.ubs.com/global/en/investment-bank.html,,,,UBS is a leading and truly global wealth manager and the leading universal bank in Switzerland. It also provides diversified asset management solutions and focused investment banking capabilities. UBS manages 6.1 trillion dollars of invested assets as per fourth quarter 2024. UBS helps clients achieve their financial goals through personalized... Read More,conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
United Fintech,http://www.unitedfintech.com,,,,"United Fintech, founded in 2020, is an industry-neutral Digital Transformation platform that brings Financial Institutions and fintechs together in a single ecosystem, designed to bridge the gaps across the financial landscape.    By acquiring and integrating proven fintech solutions within a single-vendor platform, United Fintech simplifies procurement and accelerates deployment, giving... Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
XTX Markets,http://xtxmarkets.com,,,,"XTX Markets is a leading algorithmic trading firm which partners with counterparties, exchanges and e-trading venues globally to provide liquidity in the Equity, FX, Fixed Income, Futures and Commodity markets. XTX Markets has over 250 employees based in London, Paris, New York, Mumbai, Yerevan and Singapore. Read More",conf:TradeTech_FX_USA_2025,TradeTech_FX_USA_2025,
